Date,Artist Name,Genre,Event Type,Source,Source Type,Location,Audience Engagement,Critical Acclaim,Chart Performance,Upcoming Events,Noteworthy Mentions,Link
8/6/2023 7:02:01 PM,Data Duet,Pop,Viral Moment,Billboard,Critical Review,New York,42847,3,Winner,Music Festival,Noteworthy mention 909,https://example.com/news909
8/7/2023 7:02:01 PM,Data Duet,Rock,Album Release,Billboard,Critical Review,Chicago,28403,1,Winner,Europe Tour,Noteworthy mention 910,https://example.com/news910
8/8/2023 7:02:01 PM,Data Duet,Rock,Chart Topping,TikTok,Fan Base,Miami,40226,1,Viral,Europe Tour,Noteworthy mention 911,https://example.com/news911
8/9/2023 7:02:01 PM,Data Duet,Hip Hop,Viral Moment,TikTok,Fan Base,Miami,24377,4,Winner,Music Festival,Noteworthy mention 912,https://example.com/news912
8/10/2023 7:02:01 PM,Data Duet,Rock,Chart Topping,Spotify,Critical Review,Los Angeles,26726,2,Highly Rated,Award Show,Noteworthy mention 913,https://example.com/news913
8/11/2023 7:02:01 PM,Data Duet,Rock,Album Release,Billboard,Social Media,Chicago,40015,4,Viral,Award Show,Noteworthy mention 914,https://example.com/news914
8/12/2023 7:02:01 PM,Data Duet,Rock,New Single,Billboard,Industry News,Los Angeles,5886,2,Highly Rated,World Tour,Noteworthy mention 915,https://example.com/news915
8/13/2023 7:02:01 PM,Data Duet,Pop,Viral Moment,Spotify,Industry News,Los Angeles,19108,3,Highly Rated,World Tour,Noteworthy mention 916,https://example.com/news916
8/14/2023 7:02:01 PM,Data Duet,Electronic,Viral Moment,Grammy,Fan Base,Chicago,15245,1,Top 10,Music Festival,Noteworthy mention 917,https://example.com/news917
8/15/2023 7:02:01 PM,Data Duet,Indie,Chart Topping,Grammy,Fan Base,Miami,2247,1,Top 10,Europe Tour,Noteworthy mention 918,https://example.com/news918
8/16/2023 7:02:01 PM,Data Duet,Pop,New Single,Spotify,Critical Review,Miami,41807,4,Winner,,Noteworthy mention 919,https://example.com/news919
8/17/2023 7:02:01 PM,Data Duet,Electronic,Viral Moment,Billboard,Critical Review,Miami,8222,1,Highly Rated,Award Show,Noteworthy mention 920,https://example.com/news920
8/18/2023 7:02:01 PM,Data Duet,Indie,Viral Moment,Billboard,Fan Base,Miami,31516,3,Highly Rated,Music Festival,Noteworthy mention 921,https://example.com/news921
8/19/2023 7:02:01 PM,Data Duet,Indie,New Single,Grammy,Fan Base,Miami,32882,4,Top 10,,Noteworthy mention 922,https://example.com/news922
8/20/2023 7:02:01 PM,Data Duet,Pop,Chart Topping,TikTok,Fan Base,Los Angeles,46753,1,Viral,Music Festival,Noteworthy mention 923,https://example.com/news923
8/21/2023 7:02:01 PM,Data Duet,Hip Hop,Viral Moment,TikTok,Industry News,Global,16100,1,Winner,Europe Tour,Noteworthy mention 924,https://example.com/news924
8/22/2023 7:02:01 PM,Data Duet,Pop,Viral Moment,Spotify,Social Media,Chicago,18167,2,Top 10,,Noteworthy mention 925,https://example.com/news925
8/23/2023 7:02:01 PM,Data Duet,Indie,Album Release,TikTok,Fan Base,Global,9716,1,Highly Rated,Award Show,Noteworthy mention 926,https://example.com/news926
8/24/2023 7:02:01 PM,Data Duet,Rock,Award Win,Grammy,Critical Review,Los Angeles,31839,2,Top 10,Music Festival,Noteworthy mention 927,https://example.com/news927
8/25/2023 7:02:01 PM,Data Duet,Rock,Viral Moment,Pitchfork,Social Media,Chicago,40771,2,Top 10,Music Festival,Noteworthy mention 928,https://example.com/news928
8/26/2023 7:02:01 PM,Data Duet,Hip Hop,Viral Moment,Spotify,Fan Base,Los Angeles,12635,2,Top 10,World Tour,Noteworthy mention 929,https://example.com/news929
8/27/2023 7:02:01 PM,Data Duet,Pop,Viral Moment,Billboard,Fan Base,Chicago,38986,3,Highly Rated,Europe Tour,Noteworthy mention 930,https://example.com/news930
8/28/2023 7:02:01 PM,Data Duet,Indie,Album Release,Pitchfork,Critical Review,New York,21337,4,Highly Rated,Music Festival,Noteworthy mention 931,https://example.com/news931
8/29/2023 7:02:01 PM,Data Duet,Rock,New Single,Grammy,Critical Review,Los Angeles,1693,4,Winner,Award Show,Noteworthy mention 932,https://example.com/news932
8/30/2023 7:02:01 PM,Data Duet,Electronic,Award Win,Billboard,Social Media,Los Angeles,35038,2,Viral,,Noteworthy mention 933,https://example.com/news933
8/31/2023 7:02:01 PM,Data Duet,Rock,Album Release,TikTok,Fan Base,New York,4729,1,Winner,World Tour,Noteworthy mention 934,https://example.com/news934
9/1/2023 7:02:01 PM,Data Duet,Hip Hop,Award Win,Spotify,Social Media,Miami,17561,4,Winner,,Noteworthy mention 935,https://example.com/news935
9/2/2023 7:02:01 PM,Data Duet,Pop,Chart Topping,TikTok,Industry News,New York,30980,1,Top 10,,Noteworthy mention 936,https://example.com/news936
9/3/2023 7:02:01 PM,Data Duet,Pop,Viral Moment,Spotify,Industry News,New York,21690,4,Winner,World Tour,Noteworthy mention 937,https://example.com/news937
9/4/2023 7:02:01 PM,Data Duet,Rock,New Single,Grammy,Industry News,Global,30315,4,Viral,Music Festival,Noteworthy mention 938,https://example.com/news938
9/5/2023 7:02:01 PM,Data Duet,Electronic,Award Win,Grammy,Social Media,Global,44454,2,Winner,Europe Tour,Noteworthy mention 939,https://example.com/news939
9/6/2023 7:02:01 PM,Data Duet,Pop,Viral Moment,Billboard,Fan Base,Miami,21260,3,Winner,Europe Tour,Noteworthy mention 940,https://example.com/news940
9/7/2023 7:02:01 PM,Data Duet,Pop,New Single,Spotify,Fan Base,Global,40059,1,Viral,,Noteworthy mention 941,https://example.com/news941
9/8/2023 7:02:01 PM,Data Duet,Indie,Viral Moment,Pitchfork,Industry News,Miami,35834,1,Viral,,Noteworthy mention 942,https://example.com/news942
9/9/2023 7:02:01 PM,Data Duet,Hip Hop,Viral Moment,TikTok,Social Media,New York,16014,2,Top 10,Europe Tour,Noteworthy mention 943,https://example.com/news943
9/10/2023 7:02:01 PM,Data Duet,Indie,New Single,Spotify,Critical Review,Global,11758,2,Viral,Award Show,Noteworthy mention 944,https://example.com/news944
9/11/2023 7:02:01 PM,Data Duet,Hip Hop,Viral Moment,Pitchfork,Industry News,Miami,5378,3,Viral,Award Show,Noteworthy mention 945,https://example.com/news945
9/12/2023 7:02:01 PM,Data Duet,Pop,Chart Topping,TikTok,Critical Review,Miami,42075,2,Top 10,,Noteworthy mention 946,https://example.com/news946
9/13/2023 7:02:01 PM,Data Duet,Electronic,Album Release,Grammy,Social Media,Global,37253,2,Top 10,Europe Tour,Noteworthy mention 947,https://example.com/news947
9/14/2023 7:02:01 PM,Data Duet,Electronic,Award Win,Grammy,Fan Base,Chicago,7752,1,Top 10,World Tour,Noteworthy mention 948,https://example.com/news948
9/15/2023 7:02:01 PM,Data Duet,Pop,New Single,Billboard,Fan Base,Global,10852,4,Highly Rated,Music Festival,Noteworthy mention 949,https://example.com/news949
9/16/2023 7:02:01 PM,Data Duet,Hip Hop,Album Release,Grammy,Fan Base,Miami,29925,2,Viral,World Tour,Noteworthy mention 950,https://example.com/news950
9/17/2023 7:02:01 PM,Data Duet,Indie,Award Win,Grammy,Industry News,Chicago,14411,4,Winner,Award Show,Noteworthy mention 951,https://example.com/news951
9/18/2023 7:02:01 PM,Data Duet,Indie,New Single,Grammy,Critical Review,Global,1023,1,Winner,Award Show,Noteworthy mention 952,https://example.com/news952
9/19/2023 7:02:01 PM,Data Duet,Indie,New Single,Spotify,Fan Base,New York,1063,4,Highly Rated,Award Show,Noteworthy mention 953,https://example.com/news953
9/20/2023 7:02:01 PM,Data Duet,Hip Hop,Chart Topping,Billboard,Social Media,Los Angeles,2274,2,Winner,,Noteworthy mention 954,https://example.com/news954
9/21/2023 7:02:01 PM,Data Duet,Pop,New Single,Spotify,Critical Review,Global,32201,3,Viral,,Noteworthy mention 955,https://example.com/news955
9/22/2023 7:02:01 PM,Data Duet,Electronic,Chart Topping,Pitchfork,Social Media,Global,38472,1,Highly Rated,World Tour,Noteworthy mention 956,https://example.com/news956
9/23/2023 7:02:01 PM,Data Duet,Indie,Award Win,Grammy,Industry News,Los Angeles,10368,3,Top 10,World Tour,Noteworthy mention 957,https://example.com/news957
9/24/2023 7:02:01 PM,Data Duet,Hip Hop,Viral Moment,Pitchfork,Industry News,Chicago,46909,1,Highly Rated,World Tour,Noteworthy mention 958,https://example.com/news958
9/25/2023 7:02:01 PM,Data Duet,Hip Hop,Chart Topping,Pitchfork,Industry News,Los Angeles,37490,1,Winner,Award Show,Noteworthy mention 959,https://example.com/news959
9/26/2023 7:02:01 PM,Data Duet,Indie,Viral Moment,Spotify,Social Media,Chicago,26536,3,Highly Rated,Music Festival,Noteworthy mention 960,https://example.com/news960
9/27/2023 7:02:01 PM,Data Duet,Pop,Viral Moment,Grammy,Fan Base,Miami,12045,2,Winner,Music Festival,Noteworthy mention 961,https://example.com/news961
9/28/2023 7:02:01 PM,Data Duet,Electronic,New Single,Spotify,Social Media,Chicago,18243,2,Winner,Europe Tour,Noteworthy mention 962,https://example.com/news962
9/29/2023 7:02:01 PM,Data Duet,Electronic,Album Release,TikTok,Industry News,New York,38519,1,Top 10,Europe Tour,Noteworthy mention 963,https://example.com/news963
9/30/2023 7:02:01 PM,Data Duet,Hip Hop,Viral Moment,TikTok,Social Media,Los Angeles,13718,3,Viral,Award Show,Noteworthy mention 964,https://example.com/news964
10/1/2023 7:02:01 PM,Data Duet,Pop,Album Release,Grammy,Fan Base,New York,23925,2,Top 10,Europe Tour,Noteworthy mention 965,https://example.com/news965
10/2/2023 7:02:01 PM,Data Duet,Rock,Chart Topping,Pitchfork,Fan Base,New York,25084,2,Viral,Music Festival,Noteworthy mention 966,https://example.com/news966
10/3/2023 7:02:01 PM,Data Duet,Electronic,Viral Moment,Spotify,Industry News,Los Angeles,1681,2,Top 10,,Noteworthy mention 967,https://example.com/news967
10/4/2023 7:02:01 PM,Data Duet,Rock,Viral Moment,Pitchfork,Social Media,Chicago,41723,3,Top 10,Award Show,Noteworthy mention 968,https://example.com/news968
10/5/2023 7:02:01 PM,Data Duet,Hip Hop,Viral Moment,TikTok,Critical Review,New York,6122,4,Top 10,,Noteworthy mention 969,https://example.com/news969
10/6/2023 7:02:01 PM,Data Duet,Electronic,Album Release,Spotify,Industry News,New York,17034,4,Winner,Europe Tour,Noteworthy mention 970,https://example.com/news970
10/7/2023 7:02:01 PM,Data Duet,Pop,Chart Topping,Spotify,Industry News,Chicago,14198,2,Viral,,Noteworthy mention 971,https://example.com/news971
10/8/2023 7:02:01 PM,Data Duet,Rock,Album Release,Spotify,Industry News,New York,46880,2,Viral,World Tour,Noteworthy mention 972,https://example.com/news972
10/9/2023 7:02:01 PM,Data Duet,Indie,Award Win,Grammy,Critical Review,Global,8900,4,Winner,Award Show,Noteworthy mention 973,https://example.com/news973
10/10/2023 7:02:01 PM,Data Duet,Rock,Award Win,Grammy,Industry News,Los Angeles,21794,1,Top 10,Award Show,Noteworthy mention 974,https://example.com/news974
10/11/2023 7:02:01 PM,Data Duet,Hip Hop,New Single,Grammy,Social Media,Chicago,18210,1,Viral,Europe Tour,Noteworthy mention 975,https://example.com/news975
10/12/2023 7:02:01 PM,Data Duet,Hip Hop,Viral Moment,Spotify,Industry News,Global,49906,3,Viral,Music Festival,Noteworthy mention 976,https://example.com/news976
10/13/2023 7:02:01 PM,Data Duet,Hip Hop,Award Win,Pitchfork,Fan Base,Global,33641,1,Winner,,Noteworthy mention 977,https://example.com/news977
10/14/2023 7:02:01 PM,Data Duet,Pop,Award Win,Billboard,Industry News,Chicago,9073,2,Highly Rated,,Noteworthy mention 978,https://example.com/news978
10/15/2023 7:02:01 PM,Data Duet,Pop,Album Release,Pitchfork,Fan Base,Miami,7357,1,Top 10,,Noteworthy mention 979,https://example.com/news979
10/16/2023 7:02:01 PM,Data Duet,Hip Hop,Chart Topping,TikTok,Social Media,New York,28664,4,Winner,,Noteworthy mention 980,https://example.com/news980
10/17/2023 7:02:01 PM,Data Duet,Electronic,Viral Moment,TikTok,Industry News,New York,36929,1,Winner,Europe Tour,Noteworthy mention 981,https://example.com/news981
10/18/2023 7:02:01 PM,Data Duet,Indie,Viral Moment,Grammy,Social Media,Miami,16662,2,Top 10,,Noteworthy mention 982,https://example.com/news982
10/19/2023 7:02:01 PM,Data Duet,Pop,New Single,Billboard,Fan Base,Miami,32350,2,Highly Rated,World Tour,Noteworthy mention 983,https://example.com/news983
10/20/2023 7:02:01 PM,Data Duet,Electronic,Chart Topping,Grammy,Fan Base,Miami,17066,4,Winner,,Noteworthy mention 984,https://example.com/news984
10/21/2023 7:02:01 PM,Data Duet,Rock,Viral Moment,Pitchfork,Social Media,New York,24205,3,Winner,World Tour,Noteworthy mention 985,https://example.com/news985
10/22/2023 7:02:01 PM,Data Duet,Rock,Album Release,Grammy,Industry News,Los Angeles,29539,3,Winner,,Noteworthy mention 986,https://example.com/news986
10/23/2023 7:02:01 PM,Data Duet,Electronic,Viral Moment,TikTok,Social Media,New York,49917,2,Viral,Music Festival,Noteworthy mention 987,https://example.com/news987
10/24/2023 7:02:01 PM,Data Duet,Indie,Award Win,TikTok,Industry News,Los Angeles,23739,1,Viral,,Noteworthy mention 988,https://example.com/news988
10/25/2023 7:02:01 PM,Data Duet,Rock,Viral Moment,Grammy,Fan Base,New York,35664,4,Highly Rated,Award Show,Noteworthy mention 989,https://example.com/news989
10/26/2023 7:02:01 PM,Data Duet,Electronic,Award Win,Pitchfork,Industry News,Los Angeles,2506,3,Viral,,Noteworthy mention 990,https://example.com/news990
10/27/2023 7:02:01 PM,Data Duet,Electronic,Chart Topping,Spotify,Critical Review,Los Angeles,49334,1,Highly Rated,Music Festival,Noteworthy mention 991,https://example.com/news991
10/28/2023 7:02:01 PM,Data Duet,Hip Hop,Award Win,Pitchfork,Fan Base,Global,3036,4,Top 10,,Noteworthy mention 992,https://example.com/news992
10/29/2023 7:02:01 PM,Data Duet,Electronic,Chart Topping,Grammy,Fan Base,New York,19789,1,Top 10,Music Festival,Noteworthy mention 993,https://example.com/news993
10/30/2023 7:02:01 PM,Data Duet,Indie,New Single,Pitchfork,Social Media,Los Angeles,24049,2,Highly Rated,World Tour,Noteworthy mention 994,https://example.com/news994
10/31/2023 7:02:01 PM,Data Duet,Hip Hop,Award Win,TikTok,Industry News,Global,38590,3,Top 10,Europe Tour,Noteworthy mention 995,https://example.com/news995
11/1/2023 7:02:01 PM,Data Duet,Indie,Chart Topping,Billboard,Social Media,New York,41312,3,Top 10,Europe Tour,Noteworthy mention 996,https://example.com/news996
11/2/2023 7:02:01 PM,Data Duet,Indie,Album Release,TikTok,Critical Review,Los Angeles,33005,2,Highly Rated,World Tour,Noteworthy mention 997,https://example.com/news997
11/3/2023 7:02:01 PM,Data Duet,Hip Hop,Chart Topping,TikTok,Social Media,Global,3206,3,Top 10,,Noteworthy mention 998,https://example.com/news998
11/4/2023 7:02:01 PM,Data Duet,Hip Hop,New Single,Spotify,Industry News,Miami,28673,2,Top 10,Award Show,Noteworthy mention 999,https://example.com/news999
11/5/2023 7:02:01 PM,Data Duet,Rock,Award Win,Grammy,Fan Base,Los Angeles,11019,2,Top 10,Award Show,Noteworthy mention 1000,https://example.com/news1000
11/6/2023 7:02:01 PM,Data Duet,Rock,Album Release,Spotify,Industry News,Global,48051,2,Winner,Music Festival,Noteworthy mention 1001,https://example.com/news1001
11/7/2023 7:02:01 PM,Data Duet,Hip Hop,Chart Topping,Spotify,Industry News,Los Angeles,45579,1,Viral,,Noteworthy mention 1002,https://example.com/news1002
11/8/2023 7:02:01 PM,Data Duet,Indie,Award Win,Grammy,Fan Base,New York,3092,2,Viral,Music Festival,Noteworthy mention 1003,https://example.com/news1003
11/9/2023 7:02:01 PM,Data Duet,Pop,New Single,Pitchfork,Fan Base,Global,25600,2,Viral,,Noteworthy mention 1004,https://example.com/news1004
11/10/2023 7:02:01 PM,Data Duet,Electronic,Viral Moment,Billboard,Critical Review,New York,31103,2,Top 10,,Noteworthy mention 1005,https://example.com/news1005
11/11/2023 7:02:01 PM,Data Duet,Hip Hop,New Single,Spotify,Fan Base,Global,1218,4,Viral,,Noteworthy mention 1006,https://example.com/news1006
11/12/2023 7:02:01 PM,Data Duet,Electronic,New Single,Spotify,Industry News,Los Angeles,47994,2,Highly Rated,Award Show,Noteworthy mention 1007,https://example.com/news1007
11/13/2023 7:02:01 PM,Data Duet,Rock,Award Win,Pitchfork,Fan Base,New York,10664,2,Viral,Music Festival,Noteworthy mention 1008,https://example.com/news1008
11/14/2023 7:02:01 PM,Data Duet,Electronic,Award Win,Grammy,Industry News,Chicago,48516,2,Highly Rated,World Tour,Noteworthy mention 1009,https://example.com/news1009
11/15/2023 7:02:01 PM,Data Duet,Rock,Chart Topping,TikTok,Fan Base,Chicago,34884,3,Highly Rated,World Tour,Noteworthy mention 1010,https://example.com/news1010
11/16/2023 7:02:01 PM,Data Duet,Hip Hop,Album Release,Pitchfork,Fan Base,Chicago,5396,4,Top 10,Europe Tour,Noteworthy mention 1011,https://example.com/news1011
11/17/2023 7:02:01 PM,Data Duet,Rock,New Single,TikTok,Critical Review,Chicago,27301,3,Viral,Award Show,Noteworthy mention 1012,https://example.com/news1012
11/18/2023 7:02:01 PM,Data Duet,Indie,Award Win,Billboard,Fan Base,Global,4062,1,Winner,World Tour,Noteworthy mention 1013,https://example.com/news1013
11/19/2023 7:02:01 PM,Data Duet,Indie,Award Win,Spotify,Critical Review,New York,20933,2,Winner,World Tour,Noteworthy mention 1014,https://example.com/news1014
11/20/2023 7:02:01 PM,Data Duet,Indie,New Single,Billboard,Industry News,Global,27208,3,Highly Rated,Music Festival,Noteworthy mention 1015,https://example.com/news1015
11/21/2023 7:02:01 PM,Data Duet,Electronic,Chart Topping,TikTok,Critical Review,New York,15113,2,Highly Rated,Europe Tour,Noteworthy mention 1016,https://example.com/news1016
11/22/2023 7:02:01 PM,Data Duet,Electronic,Award Win,TikTok,Social Media,Chicago,38005,4,Winner,Music Festival,Noteworthy mention 1017,https://example.com/news1017
11/23/2023 7:02:01 PM,Data Duet,Pop,Viral Moment,TikTok,Industry News,Miami,44259,2,Top 10,Award Show,Noteworthy mention 1018,https://example.com/news1018
11/24/2023 7:02:01 PM,Data Duet,Electronic,Viral Moment,Spotify,Industry News,Los Angeles,41248,3,Top 10,Music Festival,Noteworthy mention 1019,https://example.com/news1019
11/25/2023 7:02:01 PM,Data Duet,Pop,Album Release,Grammy,Social Media,Chicago,17281,3,Highly Rated,,Noteworthy mention 1020,https://example.com/news1020
11/26/2023 7:02:01 PM,Data Duet,Hip Hop,Chart Topping,Grammy,Social Media,Chicago,46853,4,Highly Rated,Music Festival,Noteworthy mention 1021,https://example.com/news1021
11/27/2023 7:02:01 PM,Data Duet,Hip Hop,New Single,Spotify,Social Media,Miami,12248,4,Winner,Award Show,Noteworthy mention 1022,https://example.com/news1022
11/28/2023 7:02:01 PM,Data Duet,Hip Hop,New Single,Grammy,Industry News,Global,39044,3,Highly Rated,Europe Tour,Noteworthy mention 1023,https://example.com/news1023
11/29/2023 7:02:01 PM,Data Duet,Hip Hop,New Single,Grammy,Critical Review,Global,10068,1,Viral,Music Festival,Noteworthy mention 1024,https://example.com/news1024
11/30/2023 7:02:01 PM,Data Duet,Electronic,Viral Moment,Spotify,Fan Base,New York,3187,3,Highly Rated,World Tour,Noteworthy mention 1025,https://example.com/news1025
12/1/2023 7:02:01 PM,Data Duet,Indie,New Single,Grammy,Social Media,Los Angeles,39804,2,Top 10,Award Show,Noteworthy mention 1026,https://example.com/news1026
12/2/2023 7:02:01 PM,Data Duet,Indie,Album Release,Grammy,Fan Base,New York,47625,1,Winner,World Tour,Noteworthy mention 1027,https://example.com/news1027
12/3/2023 7:02:01 PM,Data Duet,Rock,Viral Moment,Pitchfork,Industry News,Chicago,16397,4,Viral,Music Festival,Noteworthy mention 1028,https://example.com/news1028
12/4/2023 7:02:01 PM,Data Duet,Hip Hop,Award Win,Billboard,Critical Review,Global,34376,3,Highly Rated,Europe Tour,Noteworthy mention 1029,https://example.com/news1029
12/5/2023 7:02:01 PM,Data Duet,Indie,Chart Topping,Billboard,Social Media,Chicago,1069,4,Winner,Europe Tour,Noteworthy mention 1030,https://example.com/news1030
12/6/2023 7:02:01 PM,Data Duet,Pop,Award Win,Billboard,Fan Base,Chicago,3747,1,Highly Rated,Music Festival,Noteworthy mention 1031,https://example.com/news1031
12/7/2023 7:02:01 PM,Data Duet,Hip Hop,Award Win,Pitchfork,Fan Base,Global,47932,3,Winner,Award Show,Noteworthy mention 1032,https://example.com/news1032
12/8/2023 7:02:01 PM,Data Duet,Pop,Chart Topping,Billboard,Social Media,Chicago,47456,2,Viral,,Noteworthy mention 1033,https://example.com/news1033
12/9/2023 7:02:01 PM,Data Duet,Electronic,Chart Topping,TikTok,Industry News,Chicago,34466,4,Highly Rated,Music Festival,Noteworthy mention 1034,https://example.com/news1034
12/10/2023 7:02:01 PM,Data Duet,Hip Hop,New Single,Billboard,Critical Review,Los Angeles,34883,3,Top 10,Music Festival,Noteworthy mention 1035,https://example.com/news1035
12/11/2023 7:02:01 PM,Data Duet,Hip Hop,New Single,Spotify,Social Media,New York,15664,3,Viral,Europe Tour,Noteworthy mention 1036,https://example.com/news1036
12/12/2023 7:02:01 PM,Data Duet,Indie,Album Release,Billboard,Fan Base,Los Angeles,5308,1,Highly Rated,Music Festival,Noteworthy mention 1037,https://example.com/news1037
12/13/2023 7:02:01 PM,Data Duet,Electronic,Chart Topping,TikTok,Fan Base,Miami,4913,3,Viral,Music Festival,Noteworthy mention 1038,https://example.com/news1038
12/14/2023 7:02:01 PM,Data Duet,Rock,Chart Topping,Billboard,Critical Review,Los Angeles,5406,3,Highly Rated,Europe Tour,Noteworthy mention 1039,https://example.com/news1039
12/15/2023 7:02:01 PM,Data Duet,Pop,Award Win,Grammy,Fan Base,New York,33540,4,Highly Rated,Europe Tour,Noteworthy mention 1040,https://example.com/news1040
12/16/2023 7:02:01 PM,Data Duet,Hip Hop,New Single,TikTok,Industry News,Los Angeles,5815,3,Highly Rated,Award Show,Noteworthy mention 1041,https://example.com/news1041
12/17/2023 7:02:01 PM,Data Duet,Pop,Album Release,Spotify,Critical Review,Miami,12631,1,Viral,World Tour,Noteworthy mention 1042,https://example.com/news1042
12/18/2023 7:02:01 PM,Data Duet,Hip Hop,New Single,Grammy,Fan Base,Chicago,46906,3,Viral,Music Festival,Noteworthy mention 1043,https://example.com/news1043
12/19/2023 7:02:01 PM,Data Duet,Hip Hop,Chart Topping,Grammy,Critical Review,Chicago,24413,3,Top 10,,Noteworthy mention 1044,https://example.com/news1044
12/20/2023 7:02:01 PM,Data Duet,Rock,Album Release,Pitchfork,Social Media,Los Angeles,13575,1,Winner,,Noteworthy mention 1045,https://example.com/news1045
12/21/2023 7:02:01 PM,Data Duet,Indie,New Single,Grammy,Industry News,Miami,6899,2,Top 10,Music Festival,Noteworthy mention 1046,https://example.com/news1046
12/22/2023 7:02:01 PM,Data Duet,Pop,Award Win,Billboard,Fan Base,New York,8831,1,Top 10,Music Festival,Noteworthy mention 1047,https://example.com/news1047
12/23/2023 7:02:01 PM,Data Duet,Pop,New Single,Grammy,Industry News,Miami,37979,2,Winner,Europe Tour,Noteworthy mention 1048,https://example.com/news1048
12/24/2023 7:02:01 PM,Data Duet,Electronic,New Single,Grammy,Industry News,Los Angeles,10641,2,Viral,Award Show,Noteworthy mention 1049,https://example.com/news1049
12/25/2023 7:02:01 PM,Data Duet,Electronic,Album Release,Pitchfork,Social Media,Global,31400,2,Top 10,Award Show,Noteworthy mention 1050,https://example.com/news1050
12/26/2023 7:02:01 PM,Data Duet,Indie,Album Release,Billboard,Social Media,Global,46742,4,Highly Rated,Europe Tour,Noteworthy mention 1051,https://example.com/news1051
12/27/2023 7:02:01 PM,Data Duet,Indie,Viral Moment,Billboard,Social Media,Miami,14226,2,Top 10,,Noteworthy mention 1052,https://example.com/news1052
12/28/2023 7:02:01 PM,Data Duet,Electronic,Chart Topping,Grammy,Industry News,Los Angeles,3038,2,Winner,World Tour,Noteworthy mention 1053,https://example.com/news1053
12/29/2023 7:02:01 PM,Data Duet,Electronic,Award Win,Spotify,Fan Base,Miami,11537,3,Viral,,Noteworthy mention 1054,https://example.com/news1054
12/30/2023 7:02:01 PM,Data Duet,Electronic,New Single,Spotify,Industry News,Los Angeles,44744,4,Winner,,Noteworthy mention 1055,https://example.com/news1055
12/31/2023 7:02:01 PM,Data Duet,Indie,Album Release,Billboard,Social Media,New York,44693,1,Highly Rated,World Tour,Noteworthy mention 1056,https://example.com/news1056
1/1/2024 7:02:01 PM,Data Duet,Electronic,New Single,Spotify,Industry News,Global,14045,1,Highly Rated,World Tour,Noteworthy mention 1057,https://example.com/news1057
1/2/2024 7:02:01 PM,Data Duet,Rock,New Single,Billboard,Critical Review,Chicago,43764,3,Viral,Award Show,Noteworthy mention 1058,https://example.com/news1058
1/3/2024 7:02:01 PM,Data Duet,Indie,New Single,Billboard,Fan Base,Global,8669,1,Top 10,World Tour,Noteworthy mention 1059,https://example.com/news1059
1/4/2024 7:02:01 PM,Data Duet,Electronic,New Single,TikTok,Industry News,Chicago,22788,1,Viral,Europe Tour,Noteworthy mention 1060,https://example.com/news1060
1/5/2024 7:02:01 PM,Data Duet,Indie,Award Win,Billboard,Industry News,Los Angeles,13673,1,Viral,World Tour,Noteworthy mention 1061,https://example.com/news1061
1/6/2024 7:02:01 PM,Data Duet,Rock,Award Win,TikTok,Fan Base,Chicago,18909,4,Top 10,,Noteworthy mention 1062,https://example.com/news1062
1/7/2024 7:02:01 PM,Data Duet,Pop,Award Win,Grammy,Fan Base,New York,23142,1,Top 10,Europe Tour,Noteworthy mention 1063,https://example.com/news1063
1/8/2024 7:02:01 PM,Data Duet,Electronic,Award Win,Pitchfork,Industry News,Los Angeles,49824,4,Top 10,World Tour,Noteworthy mention 1064,https://example.com/news1064
1/9/2024 7:02:01 PM,Data Duet,Rock,Viral Moment,Billboard,Industry News,Global,19623,4,Top 10,Award Show,Noteworthy mention 1065,https://example.com/news1065
1/10/2024 7:02:01 PM,Data Duet,Hip Hop,Album Release,Grammy,Fan Base,Global,30479,4,Top 10,Award Show,Noteworthy mention 1066,https://example.com/news1066
1/11/2024 7:02:01 PM,Data Duet,Indie,Chart Topping,Billboard,Industry News,Miami,48410,1,Top 10,,Noteworthy mention 1067,https://example.com/news1067
1/12/2024 7:02:01 PM,Data Duet,Pop,Chart Topping,Billboard,Social Media,Chicago,17562,1,Top 10,Music Festival,Noteworthy mention 1068,https://example.com/news1068
1/13/2024 7:02:01 PM,Data Duet,Hip Hop,Album Release,Pitchfork,Social Media,Los Angeles,18915,1,Viral,,Noteworthy mention 1069,https://example.com/news1069
1/14/2024 7:02:01 PM,Data Duet,Electronic,Chart Topping,TikTok,Social Media,Chicago,48306,2,Highly Rated,World Tour,Noteworthy mention 1070,https://example.com/news1070
1/15/2024 7:02:01 PM,Data Duet,Hip Hop,Viral Moment,Billboard,Social Media,New York,43884,1,Top 10,,Noteworthy mention 1071,https://example.com/news1071
1/16/2024 7:02:01 PM,Data Duet,Electronic,Album Release,Billboard,Social Media,New York,37790,1,Winner,Europe Tour,Noteworthy mention 1072,https://example.com/news1072
1/17/2024 7:02:01 PM,Data Duet,Rock,Chart Topping,TikTok,Fan Base,Miami,17048,3,Winner,,Noteworthy mention 1073,https://example.com/news1073
1/18/2024 7:02:01 PM,Data Duet,Rock,New Single,Spotify,Industry News,Los Angeles,5789,2,Top 10,Award Show,Noteworthy mention 1074,https://example.com/news1074
1/19/2024 7:02:01 PM,Data Duet,Pop,Viral Moment,Pitchfork,Social Media,Los Angeles,46137,1,Top 10,Europe Tour,Noteworthy mention 1075,https://example.com/news1075
